Station_ID,Hour,Used Bikes
Dreiecksplatz,2,1.5294117647058822
Dreiecksplatz,3,1.1764705882352942
Dreiecksplatz,4,1.588235294117647
Dreiecksplatz,5,1.0
Dreiecksplatz,6,1.5294117647058822
Dreiecksplatz,7,2.0
Dreiecksplatz,8,2.4705882352941178
Dreiecksplatz,9,2.2941176470588234
Dreiecksplatz,10,2.5294117647058822
Dreiecksplatz,11,2.588235294117647
Dreiecksplatz,12,2.4705882352941178
Dreiecksplatz,13,2.3529411764705883
Dreiecksplatz,14,2.764705882352941
Dreiecksplatz,15,3.4705882352941178
Dreiecksplatz,16,3.3529411764705883
Dreiecksplatz,17,3.1176470588235294
Dreiecksplatz,18,3.3529411764705883
Dreiecksplatz,19,3.7058823529411766
Dreiecksplatz,20,2.1176470588235294
Dreiecksplatz,21,2.764705882352941
Dreiecksplatz,22,2.3529411764705883
Dreiecksplatz,23,2.7058823529411766
Kanalfähre Holtenau,0,0.6470588235294118
Kanalfähre Holtenau,1,0.6470588235294118
Kanalfähre Holtenau,2,0.7647058823529411
Kanalfähre Holtenau,3,0.5294117647058824
Kanalfähre Holtenau,4,0.5882352941176471
Kanalfähre Holtenau,5,0.5294117647058824
Kanalfähre Holtenau,6,0.47058823529411764
Kanalfähre Holtenau,7,0.47058823529411764
Kanalfähre Holtenau,8,0.5294117647058824
Kanalfähre Holtenau,9,0.5294117647058824
Kanalfähre Holtenau,10,0.5294117647058824
Kanalfähre Holtenau,11,0.5294117647058824
Kanalfähre Holtenau,12,0.5294117647058824
Kanalfähre Holtenau,13,0.5882352941176471
Kanalfähre Holtenau,14,0.5294117647058824
Kanalfähre Holtenau,15,0.5882352941176471
Kanalfähre Holtenau,16,0.7647058823529411
Kanalfähre Holtenau,17,0.7647058823529411
Kanalfähre Holtenau,18,0.7058823529411765
Kanalfähre Holtenau,19,0.6470588235294118
Kanalfähre Holtenau,20,0.6470588235294118
Kanalfähre Holtenau,21,0.6470588235294118
Kanalfähre Holtenau,22,0.6470588235294118
Kanalfähre Holtenau,23,0.6470588235294118
Kanalfähre Wik,0,0.9411764705882353
Kanalfähre Wik,1,0.9411764705882353
Kanalfähre Wik,2,1.2352941176470589
Kanalfähre Wik,3,0.9411764705882353
Kanalfähre Wik,4,1.1176470588235294
Kanalfähre Wik,5,0.8823529411764706
Kanalfähre Wik,6,0.9411764705882353
Kanalfähre Wik,7,0.8235294117647058
Kanalfähre Wik,8,0.8823529411764706
Kanalfähre Wik,9,1.1764705882352942
Kanalfähre Wik,10,1.2352941176470589
