,Station_ID,Frequency_of_Usage,Avg_Number_of_Bikes,Avg_Usage_of_Station,Avg_Returning_Bike_of_Station,Avg_Renting_Bike_of_Station,name,lat,lon,Cluster
59,24441,0.0032258064516129,1.17175026551356,1.8125,0.375,0.1875,Meimersdorf Kontor,54.283892,10.131535,2
60,24417,0.0518279569892473,3.886814065136632,15.625,6.875,6.9375,Sophienhof,54.316629,10.129724,1
61,24377,0.0253763440860215,1.9360908922947624,7.9375,3.25,2.875,Kronshagen Rathaus,54.332193,10.085277,2
62,24419,0.0378494623655914,1.2490963099777923,11.3125,4.625,4.625,ADAC-Station,54.312104,10.110267,1
63,24403,0.0150537634408602,15.30280400935694,4.5625,2.25,1.875,Hafen Laboe,54.403583,10.219583,2
64,24369,0.0526881720430107,5.455505436217366,15.875,6.9375,7.625,Alte Mu/Brunswiker Str.,54.327583,10.1415,1
65,24374,0.0780645161290322,9.33469440992486,22.9375,11.125,11.75,Holsten-/Hafenstraße,54.321,10.135389,1
66,24481,0.0572043010752688,0.8409735531107254,17.0,7.5625,7.625,Kieler Innovations- und Technologiezentrum,54.334639,10.119389,1
67,24450,0.0088172043010752,1.6483135311646893,3.5,1.1875,1.125,Schulen am Langsee,54.307029,10.157109,2
68,24379,0.035268817204301,1.0548857488047845,10.875,4.375,4.375,RBZ Wirtschaft,54.340743,10.126604,1
69,24471,0.0513978494623655,0.4874056487027486,14.75,5.8125,6.0625,Krausstraße,54.333677,10.122391,1
70,24372,0.0331182795698924,4.277771794014353,10.375,5.25,4.8125,Bahnhof Suchsdorf,54.349806,10.090778,1
71,24465,0.032258064516129,1.6099862912421836,10.1875,4.0,4.125,UKSH,54.329415,10.14013,2
72,24467,0.0477419354838709,4.10152704604779,14.4375,5.75,5.875,Zur Fähre,54.31617,10.1429,1
73,24396,0.0159139784946236,0.647630157367272,5.25,2.0,2.0625,Rathaus Waisenhofstraße,54.321722,10.132444,2
74,24457,0.0111827956989247,0.097811063035885,4.0,1.3125,1.25,Studiale,54.3378795,10.1244324,2
75,24416,0.0182795698924731,9.894092946253082,6.1875,2.4375,2.625,Rungholtplatz,54.361297,10.076831,2
76,24402,0.0094623655913978,14.233005532232893,3.6875,1.9375,2.375,Stadtteilzentrum Pries,54.395459,10.173146,2
77,26355,0.0174193548387096,5.342341790770894,7.454545454545454,2.636363636363636,3.363636363636364,Cruise Center Kiel / Fahrrad Messe Popup,54.325373,10.1448273,2
78,24397,0.3064516129032258,24.02368702432446,86.6875,52.5625,51.4375,Hauptbahnhof,54.315972,10.132278,3
