,Station_ID,Frequency_of_Usage,Avg_Number_of_Bikes,Avg_Usage_of_Station,Avg_Returning_Bike_of_Station,Avg_Renting_Bike_of_Station,Total_numbers_of_Bikes,name
102,24403,0.015053763440860216,15.30280400935694,4.5625,2.25,1.875,1242,Hafen Laboe
103,24369,0.05268817204301075,5.455505436217366,15.875,6.9375,7.625,1242,Alte Mu/Brunswiker Str.
104,24433,0.02064516129032258,4.6854715326624765,6.8125,2.9375,2.9375,1242,Langebrückstraße / Commerzbank 
105,24374,0.07806451612903226,9.33469440992486,22.9375,11.125,11.75,1242,Holsten-/Hafenstraße
106,24481,0.05720430107526882,0.8409735531107254,17.0,7.5625,7.625,1242,Kieler Innovations- und Technologiezentrum
107,24450,0.00881720430107527,1.6483135311646893,3.5,1.1875,1.125,1242,Schulen am Langsee
108,24460,0.013118279569892474,1.1488418923192465,4.4375,2.125,1.875,1242,Bystedtredder
109,24379,0.03526881720430108,1.0548857488047845,10.875,4.375,4.375,1242,RBZ Wirtschaft
110,24482,0.016344086021505378,9.975489648629994,5.5,2.8125,2.25,1242,Markt Preetz
111,24471,0.05139784946236559,0.48740564870274866,14.75,5.8125,6.0625,1242,Krausstraße
112,24372,0.033118279569892474,4.277771794014353,10.375,5.25,4.8125,1242,Bahnhof Suchsdorf
113,24430,0.01935483870967742,12.71489116839854,6.375,2.25,2.6875,1242,Fischerkoppel
114,24465,0.03225806451612903,1.6099862912421836,10.1875,4.0,4.125,1242,UKSH
115,24467,0.04774193548387097,4.10152704604779,14.4375,5.75,5.875,1242,Zur Fähre
116,24396,0.015913978494623657,0.647630157367272,5.25,2.0,2.0625,1242,Rathaus Waisenhofstraße
117,24457,0.011182795698924731,0.09781106303588509,4.0,1.3125,1.25,1242,Studiale
118,24416,0.01827956989247312,9.894092946253082,6.1875,2.4375,2.625,1242,Rungholtplatz
119,24402,0.00946236559139785,14.233005532232893,3.6875,1.9375,2.375,1242,Stadtteilzentrum Pries
120,26355,0.017419354838709676,5.342341790770894,7.454545454545454,2.6363636363636362,3.3636363636363638,1242,Cruise Center Kiel / Fahrrad Messe Popup
