,Station_ID,Frequency_of_Usage,Avg_Number_of_Bikes,Avg_Usage_of_Station,Avg_Returning_Bike_of_Station,Avg Renting_Bike_of_Station,name,lat,lon,Cluster
61,24414,0.0021333333333333,2.423076923076923,1.0096153846153846,0.0032051282051282,0.0032051282051282,Kuhlacker,54.285725,10.143565,0
66,24442,0.0016,6.997863247863249,1.0032051282051282,0.0032051282051282,0.0,Rathaus Heikendorf,54.370727,10.205576,2
67,24440,0.0048,6.646367521367522,1.016025641025641,0.0128205128205128,0.0,Förde Sparkasse Teplitzer Allee,54.2920407,10.1872627,2
70,24448,0.0096,13.740170940170945,1.0416666666666667,0.016025641025641,0.0128205128205128,Bahnhof Russee,54.309867,10.06956,2
71,24449,0.0042666666666666,5.134081196581197,1.0192307692307692,0.0032051282051282,0.016025641025641,Bebelplatz,54.294629,10.185079,0
75,24469,0.0096,0.9342948717948718,1.0352564102564104,0.0128205128205128,0.0224358974358974,Seefischmarkt,54.32842,10.17724,0
76,24368,0.0565333333333333,2.1924145299145303,1.266025641025641,0.1346153846153846,0.1378205128205128,Umsteiger,54.314861,10.131167,0
77,24393,0.0384,5.517628205128204,1.1634615384615383,0.0769230769230769,0.1025641025641025,Tilsiter Platz,54.32325,10.17025,0
81,24409,0.0053333333333333,2.598824786324786,1.0224358974358974,0.0064102564102564,0.0128205128205128,Braunstraße,54.280427,10.1456,0
87,24373,0.0549333333333333,0.2965811965811965,1.266025641025641,0.0993589743589743,0.125,Christian-Albrechts-Platz,54.339222,10.123222,0
88,24390,0.0656,3.567681623931624,1.3333333333333333,0.1602564102564102,0.1826923076923076,CITTI-PARK,54.311667,10.099722,0
93,24411,0.0032,3.47008547008547,1.016025641025641,0.0032051282051282,0.0096153846153846,Grot Steenbusch,54.2832,10.130672,0
94,24441,0.0037333333333333,1.2884615384615383,1.0064102564102564,0.0032051282051282,0.0032051282051282,Meimersdorf Kontor,54.283892,10.131535,0
98,24417,0.0453333333333333,4.244497863247863,1.2243589743589745,0.1057692307692307,0.0993589743589743,Sophienhof,54.316629,10.129724,0
99,24377,0.0197333333333333,1.0204594017094013,1.1057692307692308,0.0608974358974358,0.0416666666666666,Kronshagen Rathaus,54.332193,10.085277,0
101,24419,0.0405333333333333,1.3512820512820514,1.1923076923076923,0.0769230769230769,0.0897435897435897,ADAC-Station,54.312104,10.110267,0
102,24403,0.008,13.557692307692308,1.0416666666666667,0.032051282051282,0.016025641025641,Hafen Laboe,54.403583,10.219583,2
103,24369,0.0549333333333333,8.497115384615386,1.2692307692307692,0.1153846153846153,0.1442307692307692,Alte Mu/Brunswiker Str.,54.327583,10.1415,2
105,24374,0.0805333333333333,9.154487179487182,1.4102564102564104,0.1794871794871795,0.25,Holsten-/Hafenstraße,54.321,10.135389,2
106,24481,0.0528,0.6527777777777778,1.2403846153846154,0.1153846153846153,0.1089743589743589,Kieler Innovations- und Technologiezentrum,54.334639,10.119389,0
107,24450,0.0101333333333333,2.2067307692307687,1.044871794871795,0.0288461538461538,0.0192307692307692,Schulen am Langsee,54.307029,10.157109,0
109,24379,0.0346666666666666,0.776923076923077,1.1634615384615383,0.0673076923076923,0.0769230769230769,RBZ Wirtschaft,54.340743,10.126604,0
111,24471,0.0570666666666666,0.5990384615384617,1.2820512820512822,0.1282051282051282,0.1378205128205128,Krausstraße,54.333677,10.122391,0
112,24372,0.0293333333333333,2.306837606837606,1.141025641025641,0.0897435897435897,0.0833333333333333,Bahnhof Suchsdorf,54.349806,10.090778,0
114,24465,0.0314666666666666,1.0934829059829057,1.1506410256410255,0.0544871794871794,0.0737179487179487,UKSH,54.329415,10.14013,0
115,24467,0.0538666666666666,3.2416666666666663,1.2596153846153846,0.1057692307692307,0.1185897435897435,Zur Fähre,54.31617,10.1429,0
116,24396,0.008,0.3995726495726496,1.0288461538461535,0.016025641025641,0.0128205128205128,Rathaus Waisenhofstraße,54.321722,10.132444,0
117,24457,0.0138666666666666,0.054059829059829,1.0705128205128205,0.0288461538461538,0.032051282051282,Studiale,54.3378795,10.1244324,0
118,24416,0.0186666666666666,12.702884615384615,1.0993589743589745,0.0512820512820512,0.0416666666666666,Rungholtplatz,54.361297,10.076831,2
119,24402,0.0085333333333333,15.18215811965812,1.0256410256410255,0.0128205128205128,0.0096153846153846,Stadtteilzentrum Pries,54.395459,10.173146,2
